months,value
17.6 ,63.67 
17.7 ,60.43 
17.7 ,59.78 
17.7 ,60.72 
17.8 ,59.14 
17.8 ,59.13 
17.8 ,59.21 
17.9 ,60.56 
17.9 ,60.43 
17.9 ,59.81 
18.0 ,60.39 
18.0 ,61.27 
18.0 ,61.34 
18.1 ,61.41 
18.1 ,61.61 
18.1 ,61.35 
18.2 ,61.22 
18.2 ,61.34 
18.2 ,61.13 
18.3 ,61.09 
18.3 ,61.07 
18.3 ,61.65 
18.4 ,62.26 
18.4 ,62.39 
18.4 ,62.10 
18.5 ,62.67 
18.5 ,62.68 
18.5 ,62.47 
18.6 ,62.73 
18.6 ,62.32 
18.6 ,62.15 
18.7 ,62.23 
18.7 ,61.71 
18.7 ,61.69 
18.8 ,61.54 
18.8 ,61.43 
18.8 ,61.64 
18.9 ,62.37 
18.9 ,61.98 
18.9 ,62.39 
19.0 ,62.46 
19.0 ,62.57 
19.0 ,62.33 
19.1 ,62.39 
19.1 ,62.59 
19.1 ,62.80 
19.2 ,63.10 
19.2 ,63.20 
19.2 ,63.12 
19.3 ,62.44 
19.3 ,62.77 
19.3 ,62.17 
19.4 ,62.25 
19.4 ,62.62 
19.4 ,62.63 
19.4 ,62.56 
19.5 ,60.41 
19.5 ,60.65 
19.5 ,60.54 
19.6 ,59.37 
19.6 ,59.13 
19.6 ,59.08 
19.7 ,59.02 
19.7 ,58.13 
19.7 ,59.74 
19.8 ,58.59 
19.8 ,58.95 
19.8 ,57.95 
19.9 ,57.96 
19.9 ,57.99 
19.9 ,57.94 
20.0 ,58.33 
20.0 ,57.23 
20.0 ,57.59 
20.1 ,58.20 
20.1 ,57.98 
20.1 ,58.03 
20.2 ,58.06 
20.2 ,58.25 
20.2 ,57.08 
20.3 ,57.23 
20.3 ,57.60 
20.3 ,57.52 
20.4 ,57.52 
20.4 ,57.29 
20.4 ,56.74 
20.5 ,55.81 
20.5 ,57.03 
20.5 ,56.02 
20.6 ,56.01 
20.6 ,56.00 
20.6 ,55.46 
20.7 ,56.06 
20.7 ,55.13 
20.7 ,54.98 
20.8 ,54.56 
20.8 ,54.63 
20.8 ,54.48 
20.9 ,53.71 
20.9 ,54.83 
20.9 ,55.02 
21.0 ,54.43 
21.0 ,54.21 
21.0 ,54.25 
21.1 ,54.50 
21.1 ,55.64 
21.1 ,54.97 
21.2 ,54.88 
21.2 ,53.77 
21.2 ,54.26 
21.3 ,54.22 
21.3 ,54.02 
21.3 ,54.32 
21.4 ,54.27 
21.4 ,54.10 
21.4 ,52.47 
21.5 ,53.03 
21.5 ,53.03 
21.5 ,53.05 
21.6 ,52.33 
21.6 ,51.86 
21.6 ,52.46 
21.7 ,53.24 
21.7 ,54.30 
21.7 ,54.36 
21.7 ,54.22 
21.8 ,54.32 
21.8 ,53.51 
21.8 ,54.36 
21.9 ,53.98 
21.9 ,53.93 
21.9 ,53.92 
22.0 ,53.85 
22.0 ,53.58 
22.0 ,53.22 
22.1 ,53.50 
22.1 ,53.17 
22.1 ,53.05 
22.2 ,53.02 
22.2 ,52.90 
22.2 ,52.22 
22.3 ,52.72 
22.3 ,53.61 
22.3 ,52.65 
22.4 ,53.09 
22.4 ,53.09 
22.4 ,53.05 
22.5 ,52.53 
22.5 ,52.53 
22.5 ,52.77 
22.6 ,52.70 
22.6 ,52.50 
22.6 ,52.41 
22.7 ,52.44 
22.7 ,52.73 
22.7 ,53.42 
22.8 ,54.95 
